Question,Answer
 In the past two weeks how often have you felt nervous anxious or on edge,Never
How often have you felt down depressed or hopeless in the last two weeks?,Rarely
How would you rate the quality of your sleep in the past month?,Average
How often do you feel tired or have little energy throughout the day?,Sometimes
How frequently do you feel overwhelmed by your daily responsibilities or tasks?,Often
How often do you feel confident about yourself and your abilities?,Often
Do you find it hard to concentrate on tasks or remember things lately?,Often
How often do you spend time socializing or engaging in activities with friends or family?,Several times a week
How often do you feel lonely or isolated even when surrounded by people?,Sometimes
Irritability or AngerHow often do you get easily irritated frustrated or angry?,Always
When you face a difficult situation how confident are you in your ability to handle it?,Neutral
Have you noticed any significant changes in your eating habits in the last few weeks?,Loss of appetite
How motivated do you feel to accomplish your daily tasks or long-term goals?,Moderately motivated
How often do you experience negative thoughts about yourself or your future?,Sometimes
Have you lost interest in activities you once enjoyed?,Slightly
